%Ind           Name   Pos[m]
   1    TCLX.4R1.B1   135.74
   2     TCL.5R1.B1   197.83
   3     TCL.6R1.B1   221.41
   4   TCTPH.4L2.B1  3213.90
   5   TCTPV.4L2.B1  3215.90
   6     TDI.4L2.B1  3251.60
   7      TCLIA.4R2  3406.18
   8   TCLIB.6R2.B1  3560.09
   9     TCP.6L3.B1  6487.67
  10    TCSG.5L3.B1  6520.99
  11    TCSG.4R3.B1  6707.58
  12   TCSG.A5R3.B1  6718.92
  13   TCSG.B5R3.B1  6724.74
  14   TCLA.A5R3.B1  6755.22
  15   TCLA.B5R3.B1  6757.22
  16    TCLA.6R3.B1  6843.77
  17    TCLA.7R3.B1  6915.18
  18    TCTH.6L5.B1 13115.27
  19    TCTV.6L5.B1 13117.27
  20   TCTPH.4L5.B1 13195.49
  21   TCTPV.4L5.B1 13197.48
  22    TCLX.4R5.B1 13465.03
  23     TCL.5R5.B1 13530.48
  24     TCL.6R5.B1 13550.10
  25  TCDQA.A4R6.B1 16804.97
  26  TCDQA.C4R6.B1 16808.52
  27  TCDQA.B4R6.B1 16812.07
  28   TCSP.A4R6.B1 16815.98
  29    TCP.D6L7.B1 19789.18
  30    TCP.C6L7.B1 19791.18
  31    TCP.B6L7.B1 19793.18
  32   TCSG.A6L7.B1 19832.68
  33   TCSG.B5L7.B1 19891.91
  34   TCSG.A5L7.B1 19895.91
  35   TCSG.D4L7.B1 19917.24
  36   TCSG.B4L7.B1 19987.16
  37   TCSG.A4L7.B1 19991.16
  38   TCSG.A4R7.B1 19995.16
  39   TCSG.B5R7.B1 20086.42
  40   TCSG.D5R7.B1 20102.42
  41   TCSG.E5R7.B1 20106.42
  42    TCSG.6R7.B1 20141.02
  43   TCLA.A6R7.B1 20148.09
  44   TCLA.B6R7.B1 20178.96
  45   TCLA.C6R7.B1 20212.23
  46   TCLA.D6R7.B1 20214.23
  47   TCLA.A7R7.B1 20231.86
  48    TCLD.8R7.B1 20286.56
  49   TCLD.10R7.B1 20366.09
  50   TCTPH.4L8.B1 23197.15
  51   TCTPV.4L8.B1 23199.15
  52    TCTH.6L1.B1 26441.24
  53    TCTV.6L1.B1 26443.24
  54   TCTPH.4L1.B1 26525.08
  55   TCTPV.4L1.B1 26527.08
